,timestamp,angle,safety_switch_pressed,flex_myobrick_pos_encoder,flex_myobrick_torque_encoder,flex_myobrick_current,flex_myobrick_pwm,flex_myobrick_in_running_state,extend_myobrick_pos_encoder,extend_myobrick_torque_encoder,extend_myobrick_current,extend_myobrick_pwm,extend_myobrick_in_running_state
291,1675346077.691885,1505.0,False,-0.509152889251709,-634.0,0.03750000149011612,-2.0,True,0.5691705346107483,91.0,0.16249999403953552,7.0,True
292,1675346077.7421076,1498.0,False,-0.5733299255371094,-664.0,-0.05000000074505806,-2.0,True,0.6342734098434448,137.0,0.25,7.0,True
293,1675346077.7924213,1490.0,False,-0.6289405226707458,-691.0,0.03750000149011612,-2.0,True,0.685268223285675,212.0,0.32499998807907104,7.0,True
294,1675346077.8427796,1486.0,False,-0.6826083064079285,-632.0,0.11249999701976776,-2.0,True,0.7357414960861206,262.0,0.32499998807907104,7.0,True
295,1675346077.8930995,1477.0,False,-0.7248149514198303,-618.0,0.13750000298023224,-2.0,True,0.7779611945152283,233.0,0.4124999940395355,7.0,True
296,1675346077.9433713,1470.0,False,-0.7913259863853455,-462.0,0.23749999701976776,-2.0,True,0.8400259613990784,139.0,0.4625000059604645,7.0,True
297,1675346077.9942129,1463.0,False,-0.842881441116333,-385.0,0.21250000596046448,-2.0,True,0.8946325182914734,-11.0,0.5249999761581421,7.0,True
298,1675346078.0441473,1458.0,False,-0.8966796398162842,-386.0,0.07500000298023224,-2.0,True,0.9472572207450867,-146.0,0.4625000059604645,7.0,True
299,1675346078.0944679,1451.0,False,-0.9371912479400635,-474.0,-0.15000000596046448,-2.0,True,0.9875863194465637,-215.0,0.30000001192092896,7.0,True
300,1675346078.1447456,1447.0,False,-1.0009510517120361,-555.0,0.17499999701976776,0.0,True,1.0288411378860474,-215.0,0.0625,0.0,True
301,1675346078.195195,1439.0,False,-1.047590970993042,-534.0,0.10000000149011612,0.0,True,1.0255553722381592,-225.0,0.0625,0.0,True
302,1675346078.2454684,1435.0,False,-1.0774497985839844,-515.0,0.07500000298023224,-2.0,True,1.0259073972702026,-279.0,0.15000000596046448,7.0,True
303,1675346078.295782,1430.0,False,-1.092483639717102,-516.0,0.16249999403953552,7.0,True,1.0543450117111206,-159.0,0.4375,-2.0,True
304,1675346078.346022,1441.0,False,-1.063693881034851,-424.0,0.42500001192092896,7.0,True,1.0664581060409546,-158.0,0.0,-2.0,True
305,1675346078.396346,1450.0,False,-1.0125035047531128,-207.0,0.4375,7.0,True,1.0494033098220825,-218.0,-0.05000000074505806,-2.0,True
306,1675346078.4467142,1458.0,False,-0.9638425707817078,-156.0,0.03750000149011612,7.0,True,1.0214872360229492,-273.0,0.16249999403953552,-2.0,True
307,1675346078.4970644,1462.0,False,-0.9275034070014954,-22.0,0.25,7.0,True,0.994549036026001,-294.0,0.08749999850988388,-2.0,True
308,1675346078.547375,1470.0,False,-0.8789989948272705,105.0,0.15000000596046448,7.0,True,0.9438410401344299,-215.0,0.125,-2.0,True
309,1675346078.59763,1473.0,False,-0.8365054726600647,60.0,0.08749999850988388,7.0,True,0.8991178870201111,-132.0,0.0625,-2.0,True
310,1675346078.6478608,1478.0,False,-0.7933861017227173,-28.0,0.512499988079071,7.0,True,0.8510046601295471,-16.0,0.08749999850988388,-2.0,True
311,1675346078.6982653,1484.0,False,-0.7559777498245239,-136.0,0.375,7.0,True,0.814548134803772,39.0,-0.05000000074505806,-2.0,True
312,1675346078.7485814,1492.0,False,-0.6995196342468262,-214.0,0.512499988079071,7.0,True,0.7570990920066833,58.0,0.10000000149011612,-2.0,True
313,1675346078.7990913,1498.0,False,-0.6503632664680481,-252.0,0.512499988079071,7.0,True,0.711176335811615,35.0,0.0625,-2.0,True
314,1675346078.8491008,1504.0,False,-0.6026151180267334,-259.0,0.15000000596046448,7.0,True,0.6648494005203247,-57.0,0.08749999850988388,-2.0,True
315,1675346078.8994257,1510.0,False,-0.544448971748352,-190.0,0.012500000186264515,7.0,True,0.6073612570762634,-151.0,0.17499999701976776,-2.0,True
