tick,angle,safety_switch_pressed,flex_myobrick_pos_encoder,flex_myobrick_torque_encoder,flex_myobrick_current,flex_myobrick_pwm,flex_myobrick_in_running_state,extend_myobrick_pos_encoder,extend_myobrick_torque_encoder,extend_myobrick_current,extend_myobrick_pwm,extend_myobrick_in_running_state
867826,1716.0,False,0.5230001211166382,-184.0,0.22499999403953552,0.0,True,-1.0409281253814697,40.0,0.15000000596046448,0.0,True
867827,1716.0,False,0.5230001211166382,-184.0,0.11249999701976776,0.0,True,-1.0409281253814697,40.0,-0.03750000149011612,0.0,True
867828,1716.0,False,0.5230001211166382,-184.0,0.11249999701976776,0.0,True,-1.0409281253814697,40.0,-0.03750000149011612,0.0,True
867829,1716.0,False,0.5230001211166382,-184.0,0.11249999701976776,0.0,True,-1.0409281253814697,40.0,-0.03750000149011612,0.0,True
867830,1716.0,False,0.5230001211166382,-184.0,0.11249999701976776,0.0,True,-1.0409281253814697,40.0,-0.03750000149011612,0.0,True
867831,1715.0,False,0.5230001211166382,-184.0,0.17499999701976776,0.0,True,-1.0409281253814697,40.0,0.16249999403953552,0.0,True
867832,1715.0,False,0.5230001211166382,-184.0,-0.0625,0.0,True,-1.0409281253814697,40.0,0.03750000149011612,0.0,True
867833,1716.0,False,0.5230001211166382,-184.0,0.02500000037252903,0.0,True,-1.0409281253814697,40.0,-0.02500000037252903,0.0,True
867834,1717.0,False,0.5230001211166382,-184.0,0.02500000037252903,0.0,True,-1.0409281253814697,40.0,-0.02500000037252903,0.0,True
867835,1717.0,False,0.5230001211166382,-184.0,0.02500000037252903,0.0,True,-1.0409281253814697,40.0,0.20000000298023224,0.0,True
867836,1716.0,False,0.5230001211166382,-184.0,0.08749999850988388,0.0,True,-1.0409281253814697,40.0,-0.10000000149011612,0.0,True
867837,1715.0,False,0.5230001211166382,-184.0,0.26249998807907104,0.0,True,-1.0409281253814697,40.0,0.05000000074505806,0.0,True
867838,1716.0,False,0.5230001211166382,-184.0,0.26249998807907104,0.0,True,-1.0409281253814697,40.0,0.05000000074505806,0.0,True
867839,1716.0,False,0.5230001211166382,-184.0,0.012500000186264515,0.0,True,-1.0409281253814697,40.0,0.0625,0.0,True
867840,1716.0,False,0.5230001211166382,-184.0,0.012500000186264515,0.0,True,-1.0409281253814697,40.0,0.0625,0.0,True
867841,1716.0,False,0.5230001211166382,-184.0,0.012500000186264515,0.0,True,-1.0409281253814697,40.0,0.02500000037252903,0.0,True
867842,1716.0,False,0.5230001211166382,-184.0,0.012500000186264515,0.0,True,-1.0409281253814697,40.0,0.02500000037252903,0.0,True
867843,1716.0,False,0.5230001211166382,-184.0,0.012500000186264515,0.0,True,-1.0409281253814697,40.0,0.02500000037252903,0.0,True
867844,1715.0,False,0.5230001211166382,-184.0,0.17499999701976776,0.0,True,-1.0409281253814697,40.0,-0.08749999850988388,0.0,True
867845,1715.0,False,0.5230001211166382,-184.0,0.17499999701976776,0.0,True,-1.0409281253814697,40.0,0.16249999403953552,0.0,True
867846,1715.0,False,0.5230001211166382,-184.0,0.17499999701976776,0.0,True,-1.0409281253814697,40.0,0.16249999403953552,0.0,True
867847,1716.0,False,0.5230001211166382,-184.0,0.17499999701976776,0.0,True,-1.0409281253814697,40.0,0.16249999403953552,0.0,True
867848,1716.0,False,0.5230001211166382,-184.0,0.08749999850988388,0.0,True,-1.0409281253814697,40.0,0.10000000149011612,0.0,True
